Item Label;Description;alias;instance of;P1:string;P69:string;P44:wikibase-item;P33:quantity;P64:wikibase-item;P27:wikibase-item;P32:time;P49:wikibase-item;P50:wikibase-item;P52:wikibase-item;P56:wikibase-item;P55:wikibase-item;P59:wikibase-item;P57:wikibase-item;P65:wikibase-item;P58:wikibase-item;P60:wikibase-item;P54:wikibase-item;P53:wikibase-item;P51:string;P61:wikibase-itemPQ62-Cousin;P61:wikibase-itemPQ62-Grandchild;P61:wikibase-itemPQ62-Nephew;P61:wikibase-itemPQ62-Uncle;P61:wikibase-itemPQ62-Grandfather;P61:wikibase-itemPQ62-Grandmother;P61:wikibase-itemPQ62-Sibling-in-law;P61:wikibase-itemPQ62-Father-in-law;P61:wikibase-itemPQ62-Son-in-law;P66:string;P67:string;P28:wikibase-item;P6:wikibase-item;P5:wikibase-item;P43:wikibase-item;P19:wikibase-item;P18:wikibase-item;P17:wikibase-item;P12:wikibase-itemPQ13-Witness;P12:wikibase-itemPQ13-Notary;P12:wikibase-itemPQ13-Judge;P12:wikibase-itemPQ13-PartyA;P12:wikibase-itemPQ13-PartyB;P15:wikibase-item;P37:wikibase-item;P35:wikibase-item;P46:wikibase-item
Adelantrado mayor por el rey enna tierra de León e de Asturias;Instance of Public Office;;Q56;AMSPO-D16Oc3;D16-Adelantrado mayor por el rey enna tierra de León e de Asturias;;;Asturias|León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tellero;Instance of Occupation;;Q39;AMSPO-D121Oc3;D121-Tellero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notario póblico del rey en Oviedo;Instance of Public Office;;Q56;AMSPO-D56Oc5|AMSPO-D39Oc2|AMSPO-D109Oc3|AMSPO-D38Oc3|AMSPO-D36Oc2|AMSPO-D88Oc3|AMSPO-D57Oc1|AMSPO-D42Oc2|AMSPO-D108Oc5|AMSPO-D78Oc2|AMSPO-D30Oc3|AMSPO-D44Oc3|AMSPO-D62Oc2|AMSPO-D49Oc3|AMSPO-D40Oc2|AMSPO-D116Oc4|AMSPO-D72Oc5|AMSPO-D55Oc4|AMSPO-D2Oc2|AMSPO-D95Oc2|AMSPO-D127Oc3|AMSPO-D20Oc4|AMSPO-D67Oc1|AMSPO-D37Oc1|AMSPO-D98Oc2|AMSPO-D70Oc2|AMSPO-D101Oc4|AMSPO-D50Oc2|AMSPO-D94Oc3|AMSPO-D68Oc2|AMSPO-D99Oc4|AMSPO-D33Oc3|AMSPO-D54Oc2|AMSPO-D48Oc3|AMSPO-D74Oc4|AMSPO-D126Oc2|AMSPO-D34Oc3|AMSPO-D86Oc2|AMSPO-D43Oc2|AMSPO-D87Oc2|AMSPO-D79Oc2|AMSPO-D128Oc3|AMSPO-D106Oc3|AMSPO-D100Oc4|AMSPO-D103Oc1|AMSPO-D18Oc6|AMSPO-D80Oc2|AMSPO-D84Oc2|AMSPO-D107Oc5|AMSPO-D64Oc2|AMSPO-D35Oc1|AMSPO-D51Oc3|AMSPO-D32Oc4|AMSPO-D31Oc4|AMSPO-D66Oc1|AMSPO-D112Oc4;D44-Notario póblico del rey en Oviedo|D72-Notario póblico del rey en Oviedo|D48-Notario póblico del rey en Oviedo|D18-Notario póblico del rey en Oviedo|D42-Notario póblico del rey en Oviedo|D57-Notario póblico del rey en Oviedo|D43-Notario póblico del rey en Oviedo|D20-Notario póblico del rey en Oviedo|D109-Notario póblico del rey en Oviedo|D100-Notario póblico del rey en Oviedo|D40-Notario póblico del rey en Oviedo|D68-Notario póblico del rey en Oviedo|D126-Notario póblico del rey en Oviedo|D33-Notario póblico del rey en Oviedo|D107-Notario póblico del rey en Oviedo|D74-Notario póblico del rey en Oviedo|D116-Notario póblico del rey en Oviedo|D39-Notario póblico del rey en Oviedo|D79-Notario póblico del rey en Oviedo|D98-Notario póblico del rey en Oviedo|D78-Notario póblico del rey en Oviedo|D54-Notario póblico del rey en Oviedo|D51-Notario póblico del rey en Oviedo|D35-Notario póblico del rey en Oviedo|D70-Notario póblico del rey en Oviedo|D2-Notario póblico del rey en Oviedo|D49-Notario póblico del rey en Oviedo|D36-Notario póblico del rey en Oviedo|D67-Notario póblico del rey en Oviedo|D87-Notario póblico del rey en Oviedo|D86-Notario póblico del rey en Oviedo|D103-Notario póblico del rey en Oviedo|D80-Notario póblico del rey en Oviedo|D56-Notario póblico del rey en Oviedo|D37-Notario póblico del rey en Oviedo|D38-Notario póblico del rey en Oviedo|D127-Notario póblico del rey en Oviedo|D64-Notario póblico del rey en Oviedo|D101-Notario póblico del rey en Oviedo|D88-Notario póblico del rey en Oviedo|D66-Notario póblico del rey en Oviedo|D112-Notario póblico del rey en Oviedo|D32-Notario póblico del rey en Oviedo|D31-Notario póblico del rey en Oviedo|D108-Notario póblico del rey en Oviedo|D62-Notario póblico del rey en Oviedo|D55-Notario póblico del rey en Oviedo|D106-Notario póblico del rey en Oviedo|D84-Notario póblico del rey en Oviedo|D94-Notario póblico del rey en Oviedo|D95-Notario póblico del rey en Oviedo|D99-Notario póblico del rey en Oviedo|D34-Notario póblico del rey en Oviedo|D50-Notario póblico del rey en Oviedo|D128-Notario póblico del rey en Oviedo|D30-Notario póblico del rey en Oviedo;;;Oviedo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notario público del rey en Oviedo;Instance of Public Office;;Q56;AMSPO-D52Oc5|AMSPO-D104Oc5|AMSPO-D77Oc2|AMSPO-D97Oc2|AMSPO-D46Oc5|AMSPO-D45Oc4|AMSPO-D17Oc2|AMSPO-D92Oc4|AMSPO-D75Oc4|AMSPO-D96Oc2|AMSPO-D63Oc2|AMSPO-D5Oc3|AMSPO-D90Oc3|AMSPO-D71Oc2|AMSPO-D29Oc3|AMSPO-D12Oc4|AMSPO-D23Oc2|AMSPO-D58Oc4|AMSPO-D89Oc4|AMSPO-D7Oc2|AMSPO-D28Oc3|AMSPO-D26Oc2|AMSPO-D16Oc8|AMSPO-D73Oc4|AMSPO-D110Oc3|AMSPO-D111Oc5|AMSPO-D59Oc3|AMSPO-D65Oc2|AMSPO-D27Oc4|AMSPO-D11Oc3|AMSPO-D21Oc6|AMSPO-D41Oc1|AMSPO-D114Oc4|AMSPO-D25Oc2|AMSPO-D53Oc3|AMSPO-D19Oc3|AMSPO-D61Oc3|AMSPO-D91Oc4|AMSPO-D93Oc4|AMSPO-D8Oc3;D29-Notario público del rey en Oviedo|D73-Notario público del rey en Oviedo|D25-Notario público del rey en Oviedo|D52-Notario público del rey en Oviedo|D16-Notario público del rey en Oviedo|D58-Notario público del rey en Oviedo|D45-Notario público del rey en Oviedo|D17-Notario público del rey en Oviedo|D89-Notario público del rey en Oviedo|D104-Notario público del rey en Oviedo|D5-Notario público del rey en Oviedo|D61-Notario público del rey en Oviedo|D28-Notario público del rey en Oviedo|D75-Notario público del rey en Oviedo|D26-Notario público del rey en Oviedo|D96-Notario público del rey en Oviedo|D71-Notario público del rey en Oviedo|D114-Notario público del rey en Oviedo|D65-Notario público del rey en Oviedo|D59-Notario público del rey en Oviedo|D8-Notario público del rey en Oviedo|D110-Notario público del rey en Oviedo|D92-Notario público del rey en Oviedo|D90-Notario público del rey en Oviedo|D11-Notario público del rey en Oviedo|D46-Notario público del rey en Oviedo|D23-Notario público del rey en Oviedo|D21-Notario público del rey en Oviedo|D27-Notario público del rey en Oviedo|D93-Notario público del rey en Oviedo|D91-Notario público del rey en Oviedo|D97-Notario público del rey en Oviedo|D7-Notario público del rey en Oviedo|D41-Notario público del rey en Oviedo|D111-Notario público del rey en Oviedo|D53-Notario público del rey en Oviedo|D12-Notario público del rey en Oviedo|D77-Notario público del rey en Oviedo|D63-Notario público del rey en Oviedo|D19-Notario público del rey en Oviedo;;;Oviedo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escrivano;Instance of Occupation;;Q39;AMSPO-D98Oc3|AMSPO-D95Oc4|AMSPO-D45Oc3|AMSPO-D115Oc3|AMSPO-D112Oc3|AMSPO-D114Oc2|AMSPO-D66Oc5|AMSPO-D53Oc5|AMSPO-D111Oc3|AMSPO-D91Oc1|AMSPO-D74Oc3|AMSPO-D93Oc2|AMSPO-D121Oc4|AMSPO-D92Oc2|AMSPO-D91Oc6|AMSPO-D71Oc5|AMSPO-D54Oc5|AMSPO-D64Oc3|AMSPO-D72Oc3|AMSPO-D110Oc2|AMSPO-D119Oc5|AMSPO-D65Oc8|AMSPO-D45Oc1|AMSPO-D63Oc6|AMSPO-D70Oc4|AMSPO-D90Oc1|AMSPO-D11Oc6|AMSPO-D108Oc4|AMSPO-D113Oc3|AMSPO-D70Oc5|AMSPO-D117Oc4|AMSPO-D101Oc3|AMSPO-D116Oc5|AMSPO-D36Oc1|AMSPO-D92Oc5|AMSPO-D92Oc6|AMSPO-D55Oc1|AMSPO-D93Oc5|AMSPO-D57Oc5|AMSPO-D102Oc2|AMSPO-D58Oc2|AMSPO-D61Oc4|AMSPO-D111Oc1|AMSPO-D122Oc3|AMSPO-D99Oc3|AMSPO-D75Oc3|AMSPO-D30Oc4|AMSPO-D84Oc3|AMSPO-D116Oc2|AMSPO-D100Oc3|AMSPO-D53Oc1|AMSPO-D5Oc2|AMSPO-D84Oc4|AMSPO-D118Oc5;D122-Escrivano|D58-Escrivano|D61-Escrivano|D118-Escrivano|D75-Escrivano|D91-Escrivano|D64-Escrivano|D98-Escrivano|D113-Escrivano|D108-Escrivano|D74-Escrivano|D111-Escrivano|D90-Escrivano|D45-Escrivano|D101-Escrivano|D93-Escrivano|D36-Escrivano|D100-Escrivano|D71-Escrivano|D5-Escrivano|D99-Escrivano|D112-Escrivano|D114-Escrivano|D63-Escrivano|D57-Escrivano|D110-Escrivano|D116-Escrivano|D92-Escrivano|D54-Escrivano|D117-Escrivano|D55-Escrivano|D11-Escrivano|D95-Escrivano|D121-Escrivano|D102-Escrivano|D53-Escrivano|D119-Escrivano|D115-Escrivano|D30-Escrivano|D72-Escrivano|D70-Escrivano|D66-Escrivano|D65-Escrivano|D84-Escrivano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alffayate;Instance of Occupation;;Q39;AMSPO-D63Oc3|AMSPO-D22Oc3;D63-Alffayate|D22-Alffayate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iuyz de la pobla de Grado;Instance of Public Office;;Q56;AMSPO-D4Oc2;D4-Iuyz de la pobla de Grado;;;Grado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notario póblico del rey en la pobla de Grado;Instance of Public Office;;Q56;AMSPO-D120Oc2|AMSPO-D119Oc3|AMSPO-D121Oc5|AMSPO-D125Oc3|AMSPO-D122Oc4|AMSPO-D81Oc3|AMSPO-D124Oc3|AMSPO-D117Oc3|AMSPO-D69Oc3|AMSPO-D123Oc4;D81-Notario póblico del rey en la pobla de Grado|D125-Notario póblico del rey en la pobla de Grado|D122-Notario póblico del rey en la pobla de Grado|D121-Notario póblico del rey en la pobla de Grado|D123-Notario póblico del rey en la pobla de Grado|D69-Notario póblico del rey en la pobla de Grado|D119-Notario póblico del rey en la pobla de Grado|D117-Notario póblico del rey en la pobla de Grado|D120-Notario póblico del rey en la pobla de Grado|D124-Notario póblico del rey en la pobla de Grado;;;Grado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escriván;Instance of Occupation;;Q39;AMSPO-D51Oc4|AMSPO-D17Oc3|AMSPO-D67Oc6|AMSPO-D20Oc5|AMSPO-D33Oc4|AMSPO-D34Oc4|AMSPO-D6Oc10|AMSPO-D31Oc5|AMSPO-D19Oc1|AMSPO-D20Oc2|AMSPO-D7Oc3|AMSPO-D32Oc5|AMSPO-D21Oc5|AMSPO-D21Oc1|AMSPO-D29Oc4|AMSPO-D25Oc5|AMSPO-D18Oc7|AMSPO-D23Oc3|AMSPO-D127Oc5|AMSPO-D19Oc4;D20-Escriván|D34-Escriván|D17-Escriván|D21-Escriván|D31-Escriván|D33-Escriván|D67-Escriván|D127-Escriván|D25-Escriván|D18-Escriván|D7-Escriván|D51-Escriván|D32-Escriván|D19-Escriván|D29-Escriván|D6-Escriván|D23-Escriván;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Clérigo;Instance of Occupation;;Q39;AMSPO-D15Oc6|AMSPO-D51Oc1|AMSPO-D119Oc1|AMSPO-D127Oc1|AMSPO-D82Oc5|AMSPO-D106Oc4|AMSPO-D122Oc2|AMSPO-D21Oc3|AMSPO-D39Oc5|AMSPO-D124Oc1|AMSPO-D113Oc4|AMSPO-D69Oc4|AMSPO-D65Oc10|AMSPO-D13Oc5|AMSPO-D41Oc8|AMSPO-D123Oc2;D123-Clérigo|D119-Clérigo|D13-Clérigo|D69-Clérigo|D127-Clérigo|D21-Clérigo|D122-Clérigo|D65-Clérigo|D113-Clérigo|D106-Clérigo|D41-Clérigo|D51-Clérigo|D124-Clérigo|D15-Clérigo|D82-Clérigo|D39-Clérigo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canónigo de la Eglesia de Oviedo;Instance of Public Office;;Q56;AMSPO-D7Oc5;D7-Canónigo de la Eglesia de Oviedo;;;Oviedo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
