P1:string;P2:string
Agüera;Q399656
Algarve;Q1796196
Andorzio;Q113674689
Anduerga;Q113674874
Asturias;Q231392
Avilés;Q14649
Baragaña;Q7420725
Báscones;Q5004852
Berció;Q4891111
Borondes;Q107362291
Borondes_Abajo;Q107362291
Borondes_Arriba;Q107362291
Castañedo;Q5049630
Castilla;Q179293
Córdoba;Q1796198
Cortina;Q54086414
Faro;Q159457
Feligresía_de_San_Miguel_de_Báscones;Q5004852
Feligresía_de_Santiago_de_Arlós;Q5704331
Ferrones;Q8961493
Fuejo;Q110246363
Galicia;Q303421
Gijón;Q80349557
Godos;Q8964566
Grado;Q102272865
Grullés;Q5195546
Jaén;Q1617495
Labares;Q5198591
León;Q175276
Llanera;Q744114
Molina;Q2449922
Monteagudo;Q113674816
Murcia;Q1164500
Ondes;Q113861282
Oviedo;Q21414421
Perdones;Q117156983
Piñera;Q113674860
Posada;Q1657106
Pravia;Q842580
Ranezes;Q5195202
Sama_de_Grado;Q3470603
San_Pedro_Nora;Q1570113
San_Romano;Q527623
Santa_Cruz;Q13148016
Santiago_Aces;Q845280
Santiago_de_Arlós;Q5704331
Sevilla;Q1796239
Sograndio;Q5195415
Somines;Q9078816
Toledo;Q2301372
Ules;Q49129648
Vallo;Q4874680
Villamejil;Q1640113
Vizcaya;Q17077113
AMSPO-P1;Q298808
AMSPO-P439;Q16613212
AMSPO-P147;Q16585417
AMSPO-P94;Q16567090
AMSPO-P115;Q10363984
